Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
reqBlunt80,UI,Tooltip,,,,Requires Level 80 Blunt,,,,,,,,,,,,,
reqBlunt85,UI,Tooltip,,,,Requires Level 85 Blunt,,,,,,,,,,,,,
reqBlunt90,UI,Tooltip,,,,Requires Level 90 Blunt,,,,,,,,,,,,,
reqBlunt95,UI,Tooltip,,,,Requires Level 95 Blunt,,,,,,,,,,,,,
reqBlunt100,UI,Tooltip,,,,Requires Level 100 Blunt,,,,,,,,,,,,,
reqBlade5,UI,Tooltip,,,,Requires Level 5 Blade,,,,,,,,,,,,,
reqBlade10,UI,Tooltip,,,,Requires Level 10 Blade,,,,,,,,,,,,,
reqBlade15,UI,Tooltip,,,,Requires Level 15 Blade,,,,,,,,,,,,,
reqBlade20,UI,Tooltip,,,,Requires Level 20 Blade,,,,,,,,,,,,,
reqBlade25,UI,Tooltip,,,,Requires Level 25 Blade,,,,,,,,,,,,,
reqBlade30,UI,Tooltip,,,,Requires Level 30 Blade,,,,,,,,,,,,,
reqBlade35,UI,Tooltip,,,,Requires Level 35 Blade,,,,,,,,,,,,,
reqBlade40,UI,Tooltip,,,,Requires Level 40 Blade,,,,,,,,,,,,,
reqBlade45,UI,Tooltip,,,,Requires Level 45 Blade,,,,,,,,,,,,,
reqBlade50,UI,Tooltip,,,,Requires Level 50 Blade,,,,,,,,,,,,,
reqBlade55,UI,Tooltip,,,,Requires Level 55 Blade,,,,,,,,,,,,,
reqBlade60,UI,Tooltip,,,,Requires Level 60 Blade,,,,,,,,,,,,,
reqBlade65,UI,Tooltip,,,,Requires Level 65 Blade,,,,,,,,,,,,,
reqBlade70,UI,Tooltip,,,,Requires Level 70 Blade,,,,,,,,,,,,,
reqBlade75,UI,Tooltip,,,,Requires Level 75 Blade,,,,,,,,,,,,,
reqBlade80,UI,Tooltip,,,,Requires Level 80 Blade,,,,,,,,,,,,,
reqBlade85,UI,Tooltip,,,,Requires Level 85 Blade,,,,,,,,,,,,,
reqBlade90,UI,Tooltip,,,,Requires Level 90 Blade,,,,,,,,,,,,,
reqBlade95,UI,Tooltip,,,,Requires Level 95 Blade,,,,,,,,,,,,,
reqBlade100,UI,Tooltip,,,,Requires Level 100 Blade,,,,,,,,,,,,,
reqAthletics5,UI,Tooltip,,,,Requires Level 5 Athletics,,,,,,,,,,,,,
reqAthletics10,UI,Tooltip,,,,Requires Level 10 Athletics,,,,,,,,,,,,,
reqAthletics15,UI,Tooltip,,,,Requires Level 15 Athletics,,,,,,,,,,,,,
reqAthletics20,UI,Tooltip,,,,Requires Level 20 Athletics,,,,,,,,,,,,,
reqAthletics25,UI,Tooltip,,,,Requires Level 25 Athletics,,,,,,,,,,,,,
reqAthletics30,UI,Tooltip,,,,Requires Level 30 Athletics,,,,,,,,,,,,,
reqAthletics35,UI,Tooltip,,,,Requires Level 35 Athletics,,,,,,,,,,,,,
reqAthletics40,UI,Tooltip,,,,Requires Level 40 Athletics,,,,,,,,,,,,,
reqAthletics45,UI,Tooltip,,,,Requires Level 45 Athletics,,,,,,,,,,,,,
reqAthletics50,UI,Tooltip,,,,Requires Level 50 Athletics,,,,,,,,,,,,,
reqAthletics55,UI,Tooltip,,,,Requires Level 55 Athletics,,,,,,,,,,,,,
reqAthletics60,UI,Tooltip,,,,Requires Level 60 Athletics,,,,,,,,,,,,,
reqAthletics65,UI,Tooltip,,,,Requires Level 65 Athletics,,,,,,,,,,,,,
reqAthletics70,UI,Tooltip,,,,Requires Level 70 Athletics,,,,,,,,,,,,,
reqAthletics75,UI,Tooltip,,,,Requires Level 75 Athletics,,,,,,,,,,,,,
reqAthletics80,UI,Tooltip,,,,Requires Level 80 Athletics,,,,,,,,,,,,,
reqAthletics85,UI,Tooltip,,,,Requires Level 85 Athletics,,,,,,,,,,,,,
reqAthletics90,UI,Tooltip,,,,Requires Level 90 Athletics,,,,,,,,,,,,,
reqAthletics95,UI,Tooltip,,,,Requires Level 95 Athletics,,,,,,,,,,,,,
reqAthletics100,UI,Tooltip,,,,Requires Level 100 Athletics,,,,,,,,,,,,,
reqPierce5,UI,Tooltip,,,,Requires Level 5 Pierce,,,,,,,,,,,,,
reqPierce10,UI,Tooltip,,,,Requires Level 10 Pierce,,,,,,,,,,,,,
reqPierce15,UI,Tooltip,,,,Requires Level 15 Pierce,,,,,,,,,,,,,
reqPierce20,UI,Tooltip,,,,Requires Level 20 Pierce,,,,,,,,,,,,,
reqPierce25,UI,Tooltip,,,,Requires Level 25 Pierce,,,,,,,,,,,,,
reqPierce30,UI,Tooltip,,,,Requires Level 30 Pierce,,,,,,,,,,,,,
reqPierce35,UI,Tooltip,,,,Requires Level 35 Pierce,,,,,,,,,,,,,
reqPierce40,UI,Tooltip,,,,Requires Level 40 Pierce,,,,,,,,,,,,,
reqPierce45,UI,Tooltip,,,,Requires Level 45 Pierce,,,,,,,,,,,,,
reqPierce50,UI,Tooltip,,,,Requires Level 50 Pierce,,,,,,,,,,,,,
reqPierce55,UI,Tooltip,,,,Requires Level 55 Pierce,,,,,,,,,,,,,
reqPierce60,UI,Tooltip,,,,Requires Level 60 Pierce,,,,,,,,,,,,,
reqPierce65,UI,Tooltip,,,,Requires Level 65 Pierce,,,,,,,,,,,,,
reqPierce70,UI,Tooltip,,,,Requires Level 70 Pierce,,,,,,,,,,,,,
reqPierce75,UI,Tooltip,,,,Requires Level 75 Pierce,,,,,,,,,,,,,
reqPierce80,UI,Tooltip,,,,Requires Level 80 Pierce,,,,,,,,,,,,,
reqPierce85,UI,Tooltip,,,,Requires Level 85 Pierce,,,,,,,,,,,,,
reqPierce90,UI,Tooltip,,,,Requires Level 90 Pierce,,,,,,,,,,,,,
reqPierce95,UI,Tooltip,,,,Requires Level 95 Pierce,,,,,,,,,,,,,
reqPierce100,UI,Tooltip,,,,Requires Level 100 Pierce,,,,,,,,,,,,,
reqArchery5,UI,Tooltip,,,,Requires Level 5 Archery,,,,,,,,,,,,,
reqArchery10,UI,Tooltip,,,,Requires Level 10 Archery,,,,,,,,,,,,,
reqArchery15,UI,Tooltip,,,,Requires Level 15 Archery,,,,,,,,,,,,,
reqArchery20,UI,Tooltip,,,,Requires Level 20 Archery,,,,,,,,,,,,,
reqArchery25,UI,Tooltip,,,,Requires Level 25 Archery,,,,,,,,,,,,,
reqArchery30,UI,Tooltip,,,,Requires Level 30 Archery,,,,,,,,,,,,,
reqArchery35,UI,Tooltip,,,,Requires Level 35 Archery,,,,,,,,,,,,,
reqArchery40,UI,Tooltip,,,,Requires Level 40 Archery,,,,,,,,,,,,,
reqArchery45,UI,Tooltip,,,,Requires Level 45 Archery,,,,,,,,,,,,,
reqArchery50,UI,Tooltip,,,,Requires Level 50 Archery,,,,,,,,,,,,,
reqArchery55,UI,Tooltip,,,,Requires Level 55 Archery,,,,,,,,,,,,,
reqArchery60,UI,Tooltip,,,,Requires Level 60 Archery,,,,,,,,,,,,,
reqArchery65,UI,Tooltip,,,,Requires Level 65 Archery,,,,,,,,,,,,,
reqArchery70,UI,Tooltip,,,,Requires Level 70 Archery,,,,,,,,,,,,,
reqArchery75,UI,Tooltip,,,,Requires Level 75 Archery,,,,,,,,,,,,,
reqArchery80,UI,Tooltip,,,,Requires Level 80 Archery,,,,,,,,,,,,,
reqArchery85,UI,Tooltip,,,,Requires Level 85 Archery,,,,,,,,,,,,,
reqArchery90,UI,Tooltip,,,,Requires Level 90 Archery,,,,,,,,,,,,,
reqArchery95,UI,Tooltip,,,,Requires Level 95 Archery,,,,,,,,,,,,,
reqArchery100,UI,Tooltip,,,,Requires Level 100 Archery,,,,,,,,,,,,,
reqPistols5,UI,Tooltip,,,,Requires Level 5 Pistols,,,,,,,,,,,,,
reqPistols10,UI,Tooltip,,,,Requires Level 10 Pistols,,,,,,,,,,,,,
reqPistols15,UI,Tooltip,,,,Requires Level 15 Pistols,,,,,,,,,,,,,
reqPistols20,UI,Tooltip,,,,Requires Level 20 Pistols,,,,,,,,,,,,,
reqPistols25,UI,Tooltip,,,,Requires Level 25 Pistols,,,,,,,,,,,,,
reqPistols30,UI,Tooltip,,,,Requires Level 30 Pistols,,,,,,,,,,,,,
reqPistols35,UI,Tooltip,,,,Requires Level 35 Pistols,,,,,,,,,,,,,
reqPistols40,UI,Tooltip,,,,Requires Level 40 Pistols,,,,,,,,,,,,,
reqPistols45,UI,Tooltip,,,,Requires Level 45 Pistols,,,,,,,,,,,,,
reqPistols50,UI,Tooltip,,,,Requires Level 50 Pistols,,,,,,,,,,,,,
reqPistols55,UI,Tooltip,,,,Requires Level 55 Pistols,,,,,,,,,,,,,
reqPistols60,UI,Tooltip,,,,Requires Level 60 Pistols,,,,,,,,,,,,,
reqPistols65,UI,Tooltip,,,,Requires Level 65 Pistols,,,,,,,,,,,,,
reqPistols70,UI,Tooltip,,,,Requires Level 70 Pistols,,,,,,,,,,,,,
reqPistols75,UI,Tooltip,,,,Requires Level 75 Pistols,,,,,,,,,,,,,
reqPistols80,UI,Tooltip,,,,Requires Level 80 Pistols,,,,,,,,,,,,,
reqPistols85,UI,Tooltip,,,,Requires Level 85 Pistols,,,,,,,,,,,,,
reqPistols90,UI,Tooltip,,,,Requires Level 90 Pistols,,,,,,,,,,,,,
reqPistols95,UI,Tooltip,,,,Requires Level 95 Pistols,,,,,,,,,,,,,
reqPistols100,UI,Tooltip,,,,Requires Level 100 Pistols,,,,,,,,,,,,,
reqShotguns5,UI,Tooltip,,,,Requires Level 5 Shotguns,,,,,,,,,,,,,
reqShotguns10,UI,Tooltip,,,,Requires Level 10 Shotguns,,,,,,,,,,,,,
reqShotguns15,UI,Tooltip,,,,Requires Level 15 Shotguns,,,,,,,,,,,,,
reqShotguns20,UI,Tooltip,,,,Requires Level 20 Shotguns,,,,,,,,,,,,,
reqShotguns25,UI,Tooltip,,,,Requires Level 25 Shotguns,,,,,,,,,,,,,
reqShotguns30,UI,Tooltip,,,,Requires Level 30 Shotguns,,,,,,,,,,,,,
reqShotguns35,UI,Tooltip,,,,Requires Level 35 Shotguns,,,,,,,,,,,,,
reqShotguns40,UI,Tooltip,,,,Requires Level 40 Shotguns,,,,,,,,,,,,,
reqShotguns45,UI,Tooltip,,,,Requires Level 45 Shotguns,,,,,,,,,,,,,
reqShotguns50,UI,Tooltip,,,,Requires Level 50 Shotguns,,,,,,,,,,,,,
reqShotguns55,UI,Tooltip,,,,Requires Level 55 Shotguns,,,,,,,,,,,,,
reqShotguns60,UI,Tooltip,,,,Requires Level 60 Shotguns,,,,,,,,,,,,,
reqShotguns65,UI,Tooltip,,,,Requires Level 65 Shotguns,,,,,,,,,,,,,
reqShotguns70,UI,Tooltip,,,,Requires Level 70 Shotguns,,,,,,,,,,,,,
reqShotguns75,UI,Tooltip,,,,Requires Level 75 Shotguns,,,,,,,,,,,,,
reqShotguns80,UI,Tooltip,,,,Requires Level 80 Shotguns,,,,,,,,,,,,,
reqShotguns85,UI,Tooltip,,,,Requires Level 85 Shotguns,,,,,,,,,,,,,
reqShotguns90,UI,Tooltip,,,,Requires Level 90 Shotguns,,,,,,,,,,,,,
reqShotguns95,UI,Tooltip,,,,Requires Level 95 Shotguns,,,,,,,,,,,,,
reqShotguns100,UI,Tooltip,,,,Requires Level 100 Shotguns,,,,,,,,,,,,,
reqRifles5,UI,Tooltip,,,,Requires Level 5 Rifles,,,,,,,,,,,,,
reqRifles10,UI,Tooltip,,,,Requires Level 10 Rifles,,,,,,,,,,,,,
reqRifles15,UI,Tooltip,,,,Requires Level 15 Rifles,,,,,,,,,,,,,
reqRifles20,UI,Tooltip,,,,Requires Level 20 Rifles,,,,,,,,,,,,,
reqRifles25,UI,Tooltip,,,,Requires Level 25 Rifles,,,,,,,,,,,,,
reqRifles30,UI,Tooltip,,,,Requires Level 30 Rifles,,,,,,,,,,,,,
reqRifles35,UI,Tooltip,,,,Requires Level 35 Rifles,,,,,,,,,,,,,
reqRifles40,UI,Tooltip,,,,Requires Level 40 Rifles,,,,,,,,,,,,,
reqRifles45,UI,Tooltip,,,,Requires Level 45 Rifles,,,,,,,,,,,,,
reqRifles50,UI,Tooltip,,,,Requires Level 50 Rifles,,,,,,,,,,,,,
reqRifles55,UI,Tooltip,,,,Requires Level 55 Rifles,,,,,,,,,,,,,
reqRifles60,UI,Tooltip,,,,Requires Level 60 Rifles,,,,,,,,,,,,,
reqRifles65,UI,Tooltip,,,,Requires Level 65 Rifles,,,,,,,,,,,,,
reqRifles70,UI,Tooltip,,,,Requires Level 70 Rifles,,,,,,,,,,,,,
reqRifles75,UI,Tooltip,,,,Requires Level 75 Rifles,,,,,,,,,,,,,
reqRifles80,UI,Tooltip,,,,Requires Level 80 Rifles,,,,,,,,,,,,,
reqRifles85,UI,Tooltip,,,,Requires Level 85 Rifles,,,,,,,,,,,,,
reqRifles90,UI,Tooltip,,,,Requires Level 90 Rifles,,,,,,,,,,,,,
reqRifles95,UI,Tooltip,,,,Requires Level 95 Rifles,,,,,,,,,,,,,
reqRifles100,UI,Tooltip,,,,Requires Level 100 Rifles,,,,,,,,,,,,,
reqAutoRifles5,UI,Tooltip,,,,Requires Level 5 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles10,UI,Tooltip,,,,Requires Level 10 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles15,UI,Tooltip,,,,Requires Level 15 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles20,UI,Tooltip,,,,Requires Level 20 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles25,UI,Tooltip,,,,Requires Level 25 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles30,UI,Tooltip,,,,Requires Level 30 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles35,UI,Tooltip,,,,Requires Level 35 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles40,UI,Tooltip,,,,Requires Level 40 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles45,UI,Tooltip,,,,Requires Level 45 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles50,UI,Tooltip,,,,Requires Level 50 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles55,UI,Tooltip,,,,Requires Level 55 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles60,UI,Tooltip,,,,Requires Level 60 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles65,UI,Tooltip,,,,Requires Level 65 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles70,UI,Tooltip,,,,Requires Level 70 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles75,UI,Tooltip,,,,Requires Level 75 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles80,UI,Tooltip,,,,Requires Level 80 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles85,UI,Tooltip,,,,Requires Level 85 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles90,UI,Tooltip,,,,Requires Level 90 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles95,UI,Tooltip,,,,Requires Level 95 Automatic Rifles,,,,,,,,,,,,,
reqAutoRifles100,UI,Tooltip,,,,Requires Level 100 Automatic Rifles,,,,,,,,,,,,,
reqSpeech5,UI,Tooltip,,,,Requires Level 5 Speech,,,,,,,,,,,,,
reqSpeech10,UI,Tooltip,,,,Requires Level 10 Speech,,,,,,,,,,,,,
reqSpeech15,UI,Tooltip,,,,Requires Level 15 Speech,,,,,,,,,,,,,
reqSpeech20,UI,Tooltip,,,,Requires Level 20 Speech,,,,,,,,,,,,,
reqSpeech25,UI,Tooltip,,,,Requires Level 25 Speech,,,,,,,,,,,,,
reqSpeech30,UI,Tooltip,,,,Requires Level 30 Speech,,,,,,,,,,,,,
reqSpeech35,UI,Tooltip,,,,Requires Level 35 Speech,,,,,,,,,,,,,
reqSpeech40,UI,Tooltip,,,,Requires Level 40 Speech,,,,,,,,,,,,,
reqSpeech45,UI,Tooltip,,,,Requires Level 45 Speech,,,,,,,,,,,,,
reqSpeech50,UI,Tooltip,,,,Requires Level 50 Speech,,,,,,,,,,,,,
reqSpeech55,UI,Tooltip,,,,Requires Level 55 Speech,,,,,,,,,,,,,
reqSpeech60,UI,Tooltip,,,,Requires Level 60 Speech,,,,,,,,,,,,,
reqSpeech65,UI,Tooltip,,,,Requires Level 65 Speech,,,,,,,,,,,,,
reqSpeech70,UI,Tooltip,,,,Requires Level 70 Speech,,,,,,,,,,,,,
reqSpeech75,UI,Tooltip,,,,Requires Level 75 Speech,,,,,,,,,,,,,
reqSpeech80,UI,Tooltip,,,,Requires Level 80 Speech,,,,,,,,,,,,,
reqSpeech85,UI,Tooltip,,,,Requires Level 85 Speech,,,,,,,,,,,,,
reqSpeech90,UI,Tooltip,,,,Requires Level 90 Speech,,,,,,,,,,,,,
reqSpeech95,UI,Tooltip,,,,Requires Level 95 Speech,,,,,,,,,,,,,
reqSpeech100,UI,Tooltip,,,,Requires Level 100 Speech,,,,,,,,,,,,,
reqScience5,UI,Tooltip,,,,Requires Level 5 Science,,,,,,,,,,,,,
reqScience10,UI,Tooltip,,,,Requires Level 10 Science,,,,,,,,,,,,,
reqScience15,UI,Tooltip,,,,Requires Level 15 Science,,,,,,,,,,,,,
reqScience20,UI,Tooltip,,,,Requires Level 20 Science,,,,,,,,,,,,,
reqScience25,UI,Tooltip,,,,Requires Level 25 Science,,,,,,,,,,,,,
reqScience30,UI,Tooltip,,,,Requires Level 30 Science,,,,,,,,,,,,,
reqScience35,UI,Tooltip,,,,Requires Level 35 Science,,,,,,,,,,,,,
reqScience40,UI,Tooltip,,,,Requires Level 40 Science,,,,,,,,,,,,,
reqScience45,UI,Tooltip,,,,Requires Level 45 Science,,,,,,,,,,,,,
reqScience50,UI,Tooltip,,,,Requires Level 50 Science,,,,,,,,,,,,,
reqScience55,UI,Tooltip,,,,Requires Level 55 Science,,,,,,,,,,,,,
reqScience60,UI,Tooltip,,,,Requires Level 60 Science,,,,,,,,,,,,,
reqScience65,UI,Tooltip,,,,Requires Level 65 Science,,,,,,,,,,,,,
reqScience70,UI,Tooltip,,,,Requires Level 70 Science,,,,,,,,,,,,,
reqScience75,UI,Tooltip,,,,Requires Level 75 Science,,,,,,,,,,,,,
reqScience80,UI,Tooltip,,,,Requires Level 80 Science,,,,,,,,,,,,,
reqScience85,UI,Tooltip,,,,Requires Level 85 Science,,,,,,,,,,,,,
reqScience90,UI,Tooltip,,,,Requires Level 90 Science,,,,,,,,,,,,,
reqScience95,UI,Tooltip,,,,Requires Level 95 Science,,,,,,,,,,,,,
reqScience100,UI,Tooltip,,,,Requires Level 100 Science,,,,,,,,,,,,,
reqEngineering5,UI,Tooltip,,,,Requires Level 5 Engineering,,,,,,,,,,,,,
reqEngineering10,UI,Tooltip,,,,Requires Level 10 Engineering,,,,,,,,,,,,,
reqEngineering15,UI,Tooltip,,,,Requires Level 15 Engineering,,,,,,,,,,,,,
reqEngineering20,UI,Tooltip,,,,Requires Level 20 Engineering,,,,,,,,,,,,,
reqEngineering25,UI,Tooltip,,,,Requires Level 25 Engineering,,,,,,,,,,,,,
reqEngineering30,UI,Tooltip,,,,Requires Level 30 Engineering,,,,,,,,,,,,,
reqEngineering35,UI,Tooltip,,,,Requires Level 35 Engineering,,,,,,,,,,,,,
reqEngineering40,UI,Tooltip,,,,Requires Level 40 Engineering,,,,,,,,,,,,,
reqEngineering45,UI,Tooltip,,,,Requires Level 45 Engineering,,,,,,,,,,,,,
reqEngineering50,UI,Tooltip,,,,Requires Level 50 Engineering,,,,,,,,,,,,,
reqEngineering55,UI,Tooltip,,,,Requires Level 55 Engineering,,,,,,,,,,,,,
reqEngineering60,UI,Tooltip,,,,Requires Level 60 Engineering,,,,,,,,,,,,,
reqEngineering65,UI,Tooltip,,,,Requires Level 65 Engineering,,,,,,,,,,,,,
reqEngineering70,UI,Tooltip,,,,Requires Level 70 Engineering,,,,,,,,,,,,,
reqEngineering75,UI,Tooltip,,,,Requires Level 75 Engineering,,,,,,,,,,,,,
reqEngineering80,UI,Tooltip,,,,Requires Level 80 Engineering,,,,,,,,,,,,,
reqEngineering85,UI,Tooltip,,,,Requires Level 85 Engineering,,,,,,,,,,,,,
reqEngineering90,UI,Tooltip,,,,Requires Level 90 Engineering,,,,,,,,,,,,,
reqEngineering95,UI,Tooltip,,,,Requires Level 95 Engineering,,,,,,,,,,,,,
reqEngineering100,UI,Tooltip,,,,Requires Level 100 Engineering,,,,,,,,,,,,,
reqArmor5,UI,Tooltip,,,,Requires Level 5 Armor,,,,,,,,,,,,,
reqArmor10,UI,Tooltip,,,,Requires Level 10 Armor,,,,,,,,,,,,,
reqArmor15,UI,Tooltip,,,,Requires Level 15 Armor,,,,,,,,,,,,,
reqArmor20,UI,Tooltip,,,,Requires Level 20 Armor,,,,,,,,,,,,,
reqArmor25,UI,Tooltip,,,,Requires Level 25 Armor,,,,,,,,,,,,,
reqArmor30,UI,Tooltip,,,,Requires Level 30 Armor,,,,,,,,,,,,,
reqArmor35,UI,Tooltip,,,,Requires Level 35 Armor,,,,,,,,,,,,,
reqArmor40,UI,Tooltip,,,,Requires Level 40 Armor,,,,,,,,,,,,,
reqArmor45,UI,Tooltip,,,,Requires Level 45 Armor,,,,,,,,,,,,,
reqArmor50,UI,Tooltip,,,,Requires Level 50 Armor,,,,,,,,,,,,,
reqArmor55,UI,Tooltip,,,,Requires Level 55 Armor,,,,,,,,,,,,,
reqArmor60,UI,Tooltip,,,,Requires Level 60 Armor,,,,,,,,,,,,,
reqArmor65,UI,Tooltip,,,,Requires Level 65 Armor,,,,,,,,,,,,,
reqArmor70,UI,Tooltip,,,,Requires Level 70 Armor,,,,,,,,,,,,,
reqArmor75,UI,Tooltip,,,,Requires Level 75 Armor,,,,,,,,,,,,,
reqArmor80,UI,Tooltip,,,,Requires Level 80 Armor,,,,,,,,,,,,,
reqArmor85,UI,Tooltip,,,,Requires Level 85 Armor,,,,,,,,,,,,,
reqArmor90,UI,Tooltip,,,,Requires Level 90 Armor,,,,,,,,,,,,,
reqArmor95,UI,Tooltip,,,,Requires Level 95 Armor,,,,,,,,,,,,,
reqArmor100,UI,Tooltip,,,,Requires Level 100 Armor,,,,,,,,,,,,,
reqSurvivalism5,UI,Tooltip,,,,Requires Level 5 Survivalism,,,,,,,,,,,,,
reqSurvivalism10,UI,Tooltip,,,,Requires Level 10 Survivalism,,,,,,,,,,,,,
reqSurvivalism15,UI,Tooltip,,,,Requires Level 15 Survivalism,,,,,,,,,,,,,
reqSurvivalism20,UI,Tooltip,,,,Requires Level 20 Survivalism,,,,,,,,,,,,,
reqSurvivalism25,UI,Tooltip,,,,Requires Level 25 Survivalism,,,,,,,,,,,,,
reqSurvivalism30,UI,Tooltip,,,,Requires Level 30 Survivalism,,,,,,,,,,,,,
reqSurvivalism35,UI,Tooltip,,,,Requires Level 35 Survivalism,,,,,,,,,,,,,
reqSurvivalism40,UI,Tooltip,,,,Requires Level 40 Survivalism,,,,,,,,,,,,,
reqSurvivalism45,UI,Tooltip,,,,Requires Level 45 Survivalism,,,,,,,,,,,,,
reqSurvivalism50,UI,Tooltip,,,,Requires Level 50 Survivalism,,,,,,,,,,,,,
reqSurvivalism55,UI,Tooltip,,,,Requires Level 55 Survivalism,,,,,,,,,,,,,
reqSurvivalism60,UI,Tooltip,,,,Requires Level 60 Survivalism,,,,,,,,,,,,,
reqSurvivalism65,UI,Tooltip,,,,Requires Level 65 Survivalism,,,,,,,,,,,,,
reqSurvivalism70,UI,Tooltip,,,,Requires Level 70 Survivalism,,,,,,,,,,,,,
reqSurvivalism75,UI,Tooltip,,,,Requires Level 75 Survivalism,,,,,,,,,,,,,
reqSurvivalism80,UI,Tooltip,,,,Requires Level 80 Survivalism,,,,,,,,,,,,,
reqSurvivalism85,UI,Tooltip,,,,Requires Level 85 Survivalism,,,,,,,,,,,,,
reqSurvivalism90,UI,Tooltip,,,,Requires Level 90 Survivalism,,,,,,,,,,,,,
reqSurvivalism95,UI,Tooltip,,,,Requires Level 95 Survivalism,,,,,,,,,,,,,
reqSurvivalism100,UI,Tooltip,,,,Requires Level 100 Survivalism,,,,,,,,,,,,,
reqMining5,UI,Tooltip,,,,Requires Level 5 Mining,,,,,,,,,,,,,
reqMining10,UI,Tooltip,,,,Requires Level 10 Mining,,,,,,,,,,,,,
reqMining15,UI,Tooltip,,,,Requires Level 15 Mining,,,,,,,,,,,,,
reqMining20,UI,Tooltip,,,,Requires Level 20 Mining,,,,,,,,,,,,,
reqMining25,UI,Tooltip,,,,Requires Level 25 Mining,,,,,,,,,,,,,
reqMining30,UI,Tooltip,,,,Requires Level 30 Mining,,,,,,,,,,,,,
reqMining35,UI,Tooltip,,,,Requires Level 35 Mining,,,,,,,,,,,,,
reqMining40,UI,Tooltip,,,,Requires Level 40 Mining,,,,,,,,,,,,,
reqMining45,UI,Tooltip,,,,Requires Level 45 Mining,,,,,,,,,,,,,
reqMining50,UI,Tooltip,,,,Requires Level 50 Mining,,,,,,,,,,,,,
reqMining55,UI,Tooltip,,,,Requires Level 55 Mining,,,,,,,,,,,,,
reqMining60,UI,Tooltip,,,,Requires Level 60 Mining,,,,,,,,,,,,,
reqMining65,UI,Tooltip,,,,Requires Level 65 Mining,,,,,,,,,,,,,
reqMining70,UI,Tooltip,,,,Requires Level 70 Mining,,,,,,,,,,,,,
reqMining75,UI,Tooltip,,,,Requires Level 75 Mining,,,,,,,,,,,,,
reqMining80,UI,Tooltip,,,,Requires Level 80 Mining,,,,,,,,,,,,,
reqMining85,UI,Tooltip,,,,Requires Level 85 Mining,,,,,,,,,,,,,
reqMining90,UI,Tooltip,,,,Requires Level 90 Mining,,,,,,,,,,,,,
reqMining95,UI,Tooltip,,,,Requires Level 95 Mining,,,,,,,,,,,,,
reqMining100,UI,Tooltip,,,,Requires Level 100 Mining,,,,,,,,,,,,,
reqSalvaging5,UI,Tooltip,,,,Requires Level 5 Salvaging,,,,,,,,,,,,,
reqSalvaging10,UI,Tooltip,,,,Requires Level 10 Salvaging,,,,,,,,,,,,,
reqSalvaging15,UI,Tooltip,,,,Requires Level 15 Salvaging,,,,,,,,,,,,,
reqSalvaging20,UI,Tooltip,,,,Requires Level 20 Salvaging,,,,,,,,,,,,,
reqSalvaging25,UI,Tooltip,,,,Requires Level 25 Salvaging,,,,,,,,,,,,,
reqSalvaging30,UI,Tooltip,,,,Requires Level 30 Salvaging,,,,,,,,,,,,,
reqSalvaging35,UI,Tooltip,,,,Requires Level 35 Salvaging,,,,,,,,,,,,,
reqSalvaging40,UI,Tooltip,,,,Requires Level 40 Salvaging,,,,,,,,,,,,,
reqSalvaging45,UI,Tooltip,,,,Requires Level 45 Salvaging,,,,,,,,,,,,,
reqSalvaging50,UI,Tooltip,,,,Requires Level 50 Salvaging,,,,,,,,,,,,,
reqSalvaging55,UI,Tooltip,,,,Requires Level 55 Salvaging,,,,,,,,,,,,,
reqSalvaging60,UI,Tooltip,,,,Requires Level 60 Salvaging,,,,,,,,,,,,,
reqSalvaging65,UI,Tooltip,,,,Requires Level 65 Salvaging,,,,,,,,,,,,,
reqSalvaging70,UI,Tooltip,,,,Requires Level 70 Salvaging,,,,,,,,,,,,,
reqSalvaging75,UI,Tooltip,,,,Requires Level 75 Salvaging,,,,,,,,,,,,,
reqSalvaging80,UI,Tooltip,,,,Requires Level 80 Salvaging,,,,,,,,,,,,,
reqSalvaging85,UI,Tooltip,,,,Requires Level 85 Salvaging,,,,,,,,,,,,,
reqSalvaging90,UI,Tooltip,,,,Requires Level 90 Salvaging,,,,,,,,,,,,,
reqSalvaging95,UI,Tooltip,,,,Requires Level 95 Salvaging,,,,,,,,,,,,,
